name,category,number,weight_g,cost_gbp,comment,current,season,overnight,long_trek,car_camp,on_body,archived
Summer Trousers,Clothing,1,280,£110.00,,https://www.fjallraven.com/uk/en-gb/men/trousers/outdoor-trousers/high-coast-lite-trousers-m?_t_q=&_t_hit.id=Luminos_Storefront_Web_Features_Catalog_Product_Domain_CommonProduct/CatalogContent_66c68131-fc17-432f-98bc-a94df6e12957_en-GB&_t_hit.pos=6&_t_tags=andquerymatch%2clanguage%3aen%2csiteid%3a162d49d9-f0ac-4d2d-a110-e8143f6ca828&v=F82602%3a%3a7323450606572,Summer,,TRUE,TRUE,,
Winter Trousers,Clothing,1,600,£205.00,,https://www.fjallraven.com/uk/en-gb/men/trousers/hunting-trousers/lappland-hybrid-trousers-m?_t_q=&_t_hit.id=Luminos_Storefront_Web_Features_Catalog_Product_Domain_CommonProduct/CatalogContent_40e145b8-dc27-4432-a16a-bef9cd12203f_en-GB&_t_hit.pos=7&_t_tags=andquerymatch%2clanguage%3aen%2csiteid%3a162d49d9-f0ac-4d2d-a110-e8143f6ca828&v=F90647%3a%3a7323450165192,Winter,TRUE,TRUE,TRUE,TRUE,
Spare top,Clothing,1,155,£70.00,,https://www.fjallraven.com/uk/en-gb/men/tops/t-shirts-tank-tops/abisko-wool-ls-m,,,TRUE,TRUE,,
Sun Hood,Clothing,1,180,£90.00,,https://www.fjallraven.com/uk/en-gb/men/tops/shirts/abisko-sun-hoodie-m?_t_q=&_t_hit.id=Luminos_Storefront_Web_Features_Catalog_Product_Domain_CommonProduct/CatalogContent_ad53321c-4137-4880-9266-faaf190d2154_en-GB&_t_hit.pos=5&_t_tags=andquerymatch%2clanguage%3aen%2csiteid%3a162d49d9-f0ac-4d2d-a110-e8143f6ca828&v=F87199%3a%3a7323450609238,Summer,TRUE,TRUE,TRUE,,
Camp socks,Clothing,1,60,,,,,TRUE,TRUE,TRUE,,
Swimming shorts,Clothing,1,125,,,,Summer,TRUE,TRUE,TRUE,,
Thermal top,Clothing,1,226,£75.00,,https://www.icebreaker.com/en-gb/mens-baselayers/merino-200-oasis-long-sleeve-crewe-thermal-top/104365.html,Winter,TRUE,TRUE,TRUE,TRUE,
Thermal bottoms,Clothing,1,210,£85.00,,https://www.icebreaker.com/en-gb/mens-baselayers/merino-200-oasis-thermal-leggings/104369.html,Winter,TRUE,TRUE,TRUE,TRUE,
Thermal glove liners,Clothing,1,27,£27.00,,https://www.icebreaker.com/en-gb/accessories/merino-200-oasis-glove-liners/IBM207.html,,TRUE,TRUE,TRUE,,
Walking Socks,Clothing,1,,,,,,TRUE,TRUE,TRUE,TRUE,
Liner Socks,Clothing,1,,,,,,TRUE,TRUE,TRUE,TRUE,
Boxers,Clothing,1,,,,,,TRUE,TRUE,TRUE,TRUE,
Walking Socks (spare),Clothing,1,,,,,,,TRUE,TRUE,,
Liner Socks (spare),Clothing,1,,,,,,TRUE,TRUE,TRUE,,
Boxers (spare),Clothing,1,,,,,,,TRUE,TRUE,,
Pillow/Stuff Sack,Clothing,1,67.3,,,https://web.archive.org/web/20241209002509/https://www.thermarest.com/ie/pillows/stuff-sack-pillows/stuff-sack-pillow/10900.html,,,,,,TRUE
Clothes dry sack,Clothing,1,71.2,£25.00,,https://www.seatosummit.co.uk/products/storage/dry-sacks/evac-dry-sack/,,TRUE,TRUE,TRUE,,
Walking Boots,Clothing,1,1110,£190.00,,https://www.lowa.co.uk/products/renegade-gtx-mid,,TRUE,TRUE,TRUE,TRUE,
Spare small drybag,Miscellaneous,0,19.3,£14.00,,https://web.archive.org/web/20241207080732/https://www.exped.com/en/products/storage/fold-drybag-ul,,,TRUE,TRUE,,
Total,,,,"£3,858.54",,,,,,,,
